"","Rank_in_electoral_district","Treatment","Control","Multivariate_Distance","electoral_district"
"1",1,"08136037 Kirchheim am Ries","08136003 Adelmannsfelden",0.74,"Aalen"
"24",1,"08425017 Berghülen","08425084 Nellingen",0.84,"Ehingen"
"56",1,"08317046 Hofstetten","08317078 Mühlenbach",0.97,"Lahr"
"58",1,"08336106 Häg-Ehrsberg","08336075 Schallbach",1,"Loerrach"
"78",1,"08136020 Eschach","08136061 Ruppertshofen",1.01,"Schwaebisch Gmuend"
"40",1,"08337108 Todtmoos","08315037 Feldberg (Schwarzwald)",1.07,"Freiburg I"
"9",1,"08426043 Erlenmoos","08426125 Wain",1.17,"Biberach"
"59",2,"08336096 Wieden","08336025 Fröhnd",1.17,"Loerrach"
"55",1,"08116043 Neidlingen","08116053 Ohmden",1.18,"Kirchheim"
"70",1,"08116063 Schlaitdorf","08116006 Altenriet",1.23,"Nuertingen"
"2",2,"08136018 Ellenberg","08136068 Stödtlen",1.24,"Aalen"
"18",1,"08315003 Au","08315056 Horben",1.25,"Breisgau"
"50",1,"08415028 Grabenstetten","08415048 Mehrstetten",1.29,"Hechingen-Muensingen"
"25",2,"08425050 Griesingen","08425073 Lauterach",1.32,"Ehingen"
"72",1,"08436024 Ebenweiler","08436093 Ebersbach-Musbach",1.45,"Ravensburg"
"87",1,"08327004 Bärenthal","08327033 Mahlstetten",1.45,"Tuttlingen-Donaueschingen"
"82",1,"08437102 Schwenningen","08437047 Hettingen, Stadt",1.52,"Sigmaringen"
"88",2,"08327017 Frittlingen","08327009 Deilingen",1.54,"Tuttlingen-Donaueschingen"
"10",2,"08426109 Seekirch","08426118 Tiefenbach",1.55,"Biberach"
"68",1,"08125084 Roigheim","08125103 Widdern, Stadt",1.55,"Neckarsulm"
"26",3,"08425005 Altheim (Alb)","08425079 Merklingen",1.56,"Ehingen"
"49",1,"08117009 Birenbach","08117011 Börtlingen",1.56,"Goeppingen"
"52",1,"08127047 Langenburg, Stadt","08126094 Zweiflingen",1.57,"Hohenlohe"
"85",1,"08226058 Neidenstein","08226086 Spechbach",1.59,"Sinsheim"
"60",3,"08336004 Aitern","08336024 Fischingen",1.6,"Loerrach"
"89",3,"08327048 Talheim","08327023 Hausen ob Verena",1.6,"Tuttlingen-Donaueschingen"
"4",1,"08417047 Obernheim","08417045 Nusplingen",1.61,"Balingen"
"41",2,"08337027 Dachsberg (Südschwarzwald)","08315016 Breitnau",1.61,"Freiburg I"
"90",4,"08327006 Böttingen","08327029 Königsheim",1.61,"Tuttlingen-Donaueschingen"
"97",1,"08425064 Hüttisheim","08425110 Schnürpflingen",1.65,"Ulm"
"5",2,"08417014 Dautmergen","08417029 Hausen am Tann",1.67,"Balingen"
"27",4,"08425130 Weidenstetten","08425090 Obermarchtal",1.68,"Ehingen"
"91",5,"08327007 Bubsheim","08327013 Egesheim",1.68,"Tuttlingen-Donaueschingen"
"28",5,"08425091 Oberstadion","08425097 Rammingen",1.69,"Ehingen"
"29",6,"08425004 Altheim","08425036 Emerkingen",1.73,"Ehingen"
"92",6,"08327011 Dürbheim","08327030 Kolbingen",1.74,"Tuttlingen-Donaueschingen"
"54",1,"08317067 Lautenbach","08317126 Seebach",1.76,"Kehl"
"16",1,"08435010 Daisendorf","08435054 Stetten",1.78,"Bodensee"
"38",1,"08316003 Biederbach","08316013 Forchheim",1.85,"Emmendingen"
"73",2,"08436053 Königseggwald","08436047 Hoßkirch",1.85,"Ravensburg"
"30",7,"08425083 Neenstetten","08425013 Ballendorf",1.99,"Ehingen"
"11",3,"08426064 Kanzach","08426078 Moosburg",2.01,"Biberach"
"79",2,"08136070 Täferrot","08136049 Obergröningen",2.02,"Schwaebisch Gmuend"
"6",3,"08417015 Dormettingen","08417071 Weilen unter den Rinnen",2.04,"Balingen"
"12",4,"08426020 Betzenweiler","08426090 Oggelshausen",2.05,"Biberach"
"46",1,"08117035 Mühlhausen im Täle","08117002 Aichelberg",2.08,"Geislingen"
"31",8,"08425124 Unterstadion","08425055 Hausen am Bussen",2.11,"Ehingen"
"13",5,"08426011 Attenweiler","08426135 Gutenzell-Hürbel",2.13,"Biberach"
"93",7,"08327008 Buchheim","08327041 Renquishausen",2.13,"Tuttlingen-Donaueschingen"
"74",3,"08436019 Boms","08436032 Fleischwangen",2.21,"Ravensburg"
"94",8,"08327040 Reichenbach am Heuberg","08327020 Gunningen",2.21,"Tuttlingen-Donaueschingen"
"19",2,"08315125 Wittnau","08315107 Sölden",2.22,"Breisgau"
"32",9,"08425112 Setzingen","08425011 Asselfingen",2.3,"Ehingen"
"61",4,"08336034 Hasel","08336073 Rümmingen",2.33,"Loerrach"
"47",2,"08117043 Schlat","08117023 Gammelshausen",2.34,"Geislingen"
"42",3,"08337127 Wutach","08315094 St. Märgen",2.37,"Freiburg I"
"66",1,"08225113 Zwingenberg","08225068 Neunkirchen",2.42,"Neckar-Odenwald"
"43",4,"08337013 Bernau im Schwarzwald","08337045 Häusern",2.45,"Freiburg I"
"3",3,"08136071 Tannhausen","08136084 Wört",2.49,"Aalen"
"75",4,"08436067 Riedhausen","08436027 Eichstegen",2.61,"Ravensburg"
"14",6,"08426005 Alleshausen","08426006 Allmannsweiler",2.63,"Biberach"
"100",1,"08337030 Dettighofen","08337124 Eggingen",2.67,"Waldshut"
"22",1,"08235035 Höfen an der Enz","08235060 Rohrdorf",2.7,"Calw"
"67",2,"08225067 Neckarzimmern","08225010 Binau",2.83,"Neckar-Odenwald"
"33",10,"08425024 Breitingen","08425085 Nerenstetten",2.88,"Ehingen"
"23",2,"08235022 Egenhausen","08235025 Enzklösterle",2.92,"Calw"
"34",11,"08425062 Holzkirch","08425092 Öllingen",2.94,"Ehingen"
"62",5,"08336094 Wembach","08336090 Utzenfeld",3.03,"Loerrach"
"48",3,"08117016 Drackenstein","08117031 Hohenstadt",3.05,"Geislingen"
"95",9,"08327012 Durchhausen","08327027 Irndorf",3.09,"Tuttlingen-Donaueschingen"
"102",1,"08426065 Kirchberg an der Iller","08436001 Achberg",3.28,"Wangen"
"63",6,"08336010 Böllen","08336080 Schönenberg",3.52,"Loerrach"
"51",2,"08417036 Jungingen","08415058 Pfronstetten",3.84,"Hechingen-Muensingen"
"44",5,"08337059 Ibach","08315051 Heuweiler",3.94,"Freiburg I"
"45",1,"08237032 Grömbach","08237072 Wörnersberg",3.98,"Freudenstadt"
"7",4,"08417078 Zimmern unter der Burg","08417052 Ratshausen",4.03,"Balingen"
"83",2,"08437005 Beuron","08437082 Neufra",6.19,"Sigmaringen"
"35",12,"08425022 Börslingen","08425052 Grundsheim",6.42,"Ehingen"
"76",5,"08436040 Guggenhausen","08436077 Unterwaldhausen",6.5,"Ravensburg"
"64",7,"08336089 Tunau","08336100 Wittlingen",6.59,"Loerrach"
"36",13,"08425098 Rechtenstein","08425125 Unterwachingen",7.79,"Ehingen"
"84",1,"08335096 Hohenfels","08335015 Büsingen am Hochrhein",8.83,"Singen"
"37",14,"08425123 Untermarchtal","08425035 Emeringen",12.12,"Ehingen"
"8",5,"08417016 Dotternhausen",NA,NA,"Balingen"
"15",7,"08426036 Dürnau",NA,NA,"Biberach"
"17",2,NA,"08435018 Hagnau am Bodensee",NA,"Bodensee"
"20",3,NA,"08336104 Malsburg-Marzell",NA,"Breisgau"
"21",1,"08215094 Zaisenhausen",NA,NA,"Bretten"
"39",1,"08125087 Siegelsbach",NA,NA,"Eppingen"
"53",2,NA,"08126086 Weißbach",NA,"Hohenlohe"
"57",2,NA,"08317029 Fischerbach",NA,"Lahr"
"65",1,"08128137 Wittighausen",NA,NA,"Main-Tauber"
"69",2,"08125048 Jagsthausen",NA,NA,"Neckarsulm"
"71",2,NA,"08116005 Altdorf",NA,"Nuertingen"
"77",1,"08325050 Schenkenzell",NA,NA,"Rottweil"
"80",3,NA,"08136029 Heuchlingen",NA,"Schwaebisch Gmuend"
"81",1,NA,"08127099 Wolpertshausen",NA,"Schwaebisch Hall"
"86",2,NA,"08226027 Heddesbach",NA,"Sinsheim"
"96",10,"08327005 Balgheim",NA,NA,"Tuttlingen-Donaueschingen"
"98",2,"08425140 Balzheim",NA,NA,"Ulm"
"99",1,NA,"08326020 Gütenbach",NA,"Villingen-Schwenningen"
"101",2,NA,"08337070 Lottstetten",NA,"Waldshut"
