"community_ID";"community_long_ID";"community_name";"electoral_district";"electoral_district_ID";"population";"eligible_voters_2011";"voters_2011";"turnout_2011";"green_percent_2011";"proportion_male";"proportion_female";"proportion_german";"proportion_under18";"proportion_18to64";"proportion_over65";"assignment_pair";"treatment_indicator_Z";"eligible_voters_2016";"voters_2016";"turnout_2016";"green_percent_2016";"CDU_percent_2016";"AfD_percent_2016";"district_CDU_percent_2011";"district_SPD_percent_2011";"district_green_percent_2011";"district_FDP_percent_2011";"district_incumbent_green";"district_closeness_2011";"CDU_percent_2011";"SPD_percent_2011";"green_percent_2011_1";"FDP_percent_2011";"community_closeness";"total_treatment_households";"complier_percent";"complier_households";"non-complier_households"
8116006;"08116006 Altenriet";"Altenriet";"Nuertingen";"09 Nürtingen";1904;1406;1067;0,7588904694;0,2417374882;0,5005252101;0,5;0,9322478992;0,218487395;0,6281512605;0,1538865546;10;0;1406;1128;0,8022759602;0,3288770053;0,234402852;0,1818181818;0,3970774455;0,2213319587;0,2568217219;0,0464493428;0;0,1402557235;0,4296506138;0,1916902738;0,2417374882;0,0415486308;0,1879131256;855;0,698245614;597;258
8116043;"08116043 Neidlingen";"Neidlingen";"Kirchheim";"08 Kirchheim";1800;1352;1028;0,7603550296;0,1822660099;0,4927777778;0,5072222222;0,9355555556;0,1966666667;0,6127777778;0,1905555556;9;1;1361;1054;0,7744305658;0,2861271676;0,3314065511;0,1078998073;0,3856259025;0,2352285134;0,2325635999;0,0597316303;0;0,1503973891;0,4630541872;0,1743842365;0,1822660099;0,0837438424;0,2807881773;912;0,7971491228;727;185
8116053;"08116053 Ohmden";"Ohmden";"Kirchheim";"08 Kirchheim";1702;1329;1024;0,7705041384;0,2119402985;0,5111633373;0,4888366627;0,9453584019;0,1897767333;0,6180963572;0,1921269095;9;0;1339;1060;0,7916355489;0,3276026743;0,2636103152;0,1489971347;0,3856259025;0,2352285134;0,2325635999;0,0597316303;0;0,1503973891;0,3850746269;0,2348258706;0,2119402985;0,0875621891;0,1502487562;824;0,7839805825;646;178
8116063;"08116063 Schlaitdorf";"Schlaitdorf";"Nuertingen";"09 Nürtingen";1797;1348;1043;0,7737388724;0,2475728155;0,4908180301;0,509738453;0,9538119087;0,2120200334;0,6494156928;0,1391207568;10;1;1399;1140;0,8148677627;0,3430592396;0,2475685234;0,1547303271;0,3970774455;0,2213319587;0,2568217219;0,0464493428;0;0,1402557235;0,4291262136;0,2029126214;0,2475728155;0,032038835;0,1815533981;861;0,6527293844;562;299
8117009;"08117009 Birenbach";"Birenbach";"Goeppingen";"10 Göppingen";1907;1498;1105;0,7376502003;0,1998166819;0,492920818;0,507079182;0,9459884636;0,1693759832;0,6313581542;0,1992658626;22;1;1495;1104;0,7384615385;0,2727272727;0,2451790634;0,1910009183;0,380258768;0,2641061112;0,2204084954;0,046561966;0;0,1161526568;0,3675527039;0,2988084326;0,1998166819;0,0430797434;0,0687442713;935;0,7721925134;722;213
8117011;"08117011 Börtlingen";"Börtlingen";"Goeppingen";"10 Göppingen";1740;1365;1050;0,7692307692;0,2278846154;0,4971264368;0,5028735632;0,9603448276;0,1787356322;0,5988505747;0,2224137931;22;0;1327;1050;0,7912584778;0,3217726397;0,2668593449;0,1387283237;0,380258768;0,2641061112;0,2204084954;0,046561966;0;0,1161526568;0,4096153846;0,2471153846;0,2278846154;0,0384615385;0,1625;800;0,7675;614;186
8125084;"08125084 Roigheim";"Roigheim";"Neckarsulm";"20 Neckarsulm";1374;1007;662;0,6573982125;0,1622874807;0,5167394469;0,4832605531;0,9199417758;0,2016011645;0,6200873362;0,1783114993;20;1;982;692;0,7046843177;0,2168850073;0,3013100437;0,1892285298;0,4070453886;0,2588378427;0,1909416433;0,0466190154;0;0,1482075459;0,4466769706;0,2612055641;0,1622874807;0,0309119011;0,1854714065;649;0,8382126348;544;105
8125103;"08125103 Widdern, Stadt";"Widdern, Stadt";"Neckarsulm";"20 Neckarsulm";1822;1317;836;0,6347760061;0,2086851628;0,5032930845;0,4967069155;0,9297475302;0,214050494;0,617453348;0,1684961581;20;0;1336;911;0,6818862275;0,2552719201;0,2663706992;0,1831298557;0,4070453886;0,2588378427;0,1909416433;0,0466190154;0;0,1482075459;0,4149577805;0,2388419783;0,2086851628;0,0470446321;0,1761158022;791;0,9216182048;729;62
8126094;"08126094 Zweiflingen";"Zweiflingen";"Hohenlohe";"21 Hohenlohe";1616;1246;879;0,7054574639;0,2190034762;0,5055693069;0,4931930693;0,9727722772;0,2091584158;0,6027227723;0,1868811881;23;0;1343;943;0,7021593448;0,2730192719;0,2933618844;0,1937901499;0,4071813977;0,2204843268;0,1972636177;0,0778680627;0;0,1866970709;0,4414831981;0,1633835458;0,2190034762;0,0741599073;0,2224797219;688;0,8880813953;611;77
8127047;"08127047 Langenburg, Stadt";"Langenburg, Stadt";"Hohenlohe";"21 Hohenlohe";1745;1400;1016;0,7257142857;0,2121513944;0,5071633238;0,4928366762;0,9673352436;0,1747851003;0,5931232092;0,2320916905;23;1;1412;1071;0,7584985836;0,2823193916;0,2794676806;0,1340304183;0,4071813977;0,2204843268;0,1972636177;0,0778680627;0;0,1866970709;0,3256972112;0,2689243028;0,2121513944;0,078685259;0,0567729084;1095;0,6666666667;730;365
8136003;"08136003 Adelmannsfelden";"Adelmannsfelden";"Aalen";"26 Aalen";1793;1377;971;0,7051561365;0,1901260504;0,491912995;0,5075292805;0,9860568879;0,2197434467;0,6084774122;0,1712214166;1;0;1380;1079;0,781884058;0,2754435107;0,3557422969;0,1363211951;0,4636089824;0,2241793435;0,1837152261;0,0336523187;0;0,2394296389;0,4474789916;0,237394958;0,1901260504;0,0325630252;0,2100840336;843;0,6381969158;538;305
8136018;"08136018 Ellenberg";"Ellenberg";"Aalen";"26 Aalen";1657;1324;912;0,6888217523;0,1471910112;0,5021122511;0,4984912492;0,9788774894;0,1913095957;0,6481593241;0,1611345806;11;1;1348;1043;0,7737388724;0,2093476144;0,4547224927;0,164556962;0,4636089824;0,2241793435;0,1837152261;0,0336523187;0;0,2394296389;0,591011236;0,1325842697;0,1471910112;0,0359550562;0,4438202247;784;0,950255102;745;39
8136020;"08136020 Eschach";"Eschach";"Schwaebisch Gmuend";"25 Schwäbisch Gmünd";1763;1386;904;0,6522366522;0,1858108108;0,5019852524;0,4985819626;0,9897901305;0,2098695406;0,6313102666;0,1593874078;5;1;1416;957;0,6758474576;0,2318229715;0,3034773446;0,1685985248;0,4393379468;0,243532853;0,1884711422;0,0388528216;0;0,1958050938;0,4335585586;0,2184684685;0,1858108108;0,0686936937;0,2150900901;846;0,8676122931;734;112
8136037;"08136037 Kirchheim am Ries";"Kirchheim am Ries";"Aalen";"26 Aalen";1889;1430;970;0,6783216783;0,1666666667;0,5002646903;0,4992059291;0,9782953944;0,2223398624;0,6130227634;0,1641079936;1;1;1431;1013;0,7078965758;0,183;0,436;0,146;0,4636089824;0,2241793435;0,1837152261;0,0336523187;0;0,2394296389;0,5398322851;0,1897274633;0,1666666667;0,034591195;0,3501048218;756;0,9510582011;719;37
8136061;"08136061 Ruppertshofen";"Ruppertshofen";"Schwaebisch Gmuend";"25 Schwäbisch Gmünd";1834;1399;867;0,6197283774;0,1929411765;0,5130861505;0,4869138495;0,9765539804;0,2126499455;0,6466739368;0,1406761178;5;0;1420;986;0,6943661972;0,2366255144;0,2561728395;0,2088477366;0,4393379468;0,243532853;0,1884711422;0,0388528216;0;0,1958050938;0,4011764706;0,2305882353;0,1929411765;0,0458823529;0,1705882353;855;0,7614035088;651;204
8136068;"08136068 Stödtlen";"Stödtlen";"Aalen";"26 Aalen";1923;1482;973;0,6565452092;0,1306165099;0,5007800312;0,4992199688;0,9849193968;0,2074882995;0,6235049402;0,1690067603;11;0;1478;1024;0,6928281461;0,201183432;0,5029585799;0,1193293886;0,4636089824;0,2241793435;0,1837152261;0,0336523187;0;0,2394296389;0,5705329154;0,1870428422;0,1306165099;0,0250783699;0,3834900731;763;0,8885976409;678;85
8226058;"08226058 Neidenstein";"Neidenstein";"Sinsheim";"41 Sinsheim";1835;1385;995;0,7184115523;0,2037037037;0,4942779292;0,5057220708;0,9613079019;0,2049046322;0,6207084469;0,174386921;24;1;1391;1059;0,7613227894;0,2332695985;0,2705544933;0,1826003824;0,3827996975;0,2530095802;0,2299571411;0,0424177486;0;0,1297901172;0,371399177;0,2818930041;0,2037037037;0,0380658436;0,0895061728;912;0,7971491228;727;185
8226086;"08226086 Spechbach";"Spechbach";"Sinsheim";"41 Sinsheim";1767;1341;919;0,6853094705;0,2176339286;0,4923599321;0,5076400679;0,9264289757;0,1714770798;0,6253537068;0,2031692134;24;0;1300;984;0,7569230769;0,2584963955;0,2677651905;0,184346035;0,3827996975;0,2530095802;0,2299571411;0,0424177486;0;0,1297901172;0,3415178571;0,2756696429;0,2176339286;0,0613839286;0,0658482143;826;0,8886198547;734;92
8315003;"08315003 Au";"Au";"Breisgau";"48 Breisgau";1398;1055;815;0,7725118483;0,3925925926;0,4949928469;0,5035765379;0,9656652361;0,2160228898;0,6151645207;0,1673819742;12;1;1059;886;0,8366383381;0,391600454;0,2440408627;0,087400681;0,3346887404;0,2400885855;0,3016264885;0,0552086359;0;0,0330622519;0,3148148148;0,1567901235;0,3925925926;0,0691358025;0,0777777778;754;0,7082228117;534;220
8315016;"08315016 Breitnau";"Breitnau";"Freiburg I";"46 Freiburg I";1684;1287;905;0,7031857032;0,2771493213;0,4946555819;0,5053444181;0,9376484561;0,216152019;0,606888361;0,17695962;28;0;1253;944;0,7533918595;0,2824919441;0,3426423201;0,0998925886;0,3260088126;0,219109462;0,3449675325;0,0493506494;1;0,0189587199;0,4253393665;0,1606334842;0,2771493213;0,056561086;0,1481900452;843;0,768683274;648;195
8315037;"08315037 Feldberg (Schwarzwald)";"Feldberg (Schwarzwald)";"Freiburg I";"46 Freiburg I";1724;1314;908;0,6910197869;0,2350332594;0,4883990719;0,5116009281;0,8996519722;0,1490719258;0,6189095128;0,2320185615;6;0;1240;880;0,7096774194;0,2687427912;0,3817762399;0,0853517878;0,3260088126;0,219109462;0,3449675325;0,0493506494;1;0,0189587199;0,4323725055;0,1662971175;0,2350332594;0,0953436807;0,1973392461;1155;0,7012987013;810;345
8315056;"08315056 Horben";"Horben";"Breisgau";"48 Breisgau";1005;773;575;0,74385511;0,3409490334;0,4945273632;0,5034825871;0,9532338308;0,2109452736;0,6059701493;0,1810945274;12;0;835;653;0,7820359281;0,4175654854;0,2326656394;0,1016949153;0,3346887404;0,2400885855;0,3016264885;0,0552086359;0;0,0330622519;0,3620386643;0,2021089631;0,3409490334;0,0421792619;0,0210896309;580;0,824137931;478;102
8316003;"08316003 Biederbach";"Biederbach";"Emmendingen";"49 Emmendingen";1731;1365;754;0,5523809524;0,2169167804;0,5135759676;0,4864240324;0,9896013865;0,2125938764;0,6233391103;0,1640670133;39;1;1381;831;0,6017378711;0,3191747573;0,4004854369;0,1031553398;0,3237317829;0,2482481085;0,3041943838;0,0426547504;0;0,0195373991;0,5675306958;0,139154161;0,2169167804;0,0327421555;0,3506139154;771;0,9559014267;737;34
8316013;"08316013 Forchheim";"Forchheim";"Emmendingen";"49 Emmendingen";1341;1023;617;0,6031280547;0,26306914;0,504847129;0,4958985831;0,9724086503;0,2050708427;0,6413124534;0,1543624161;39;0;1064;762;0,7161654135;0,3067729084;0,2775564409;0,1354581673;0,3237317829;0,2482481085;0,3041943838;0,0426547504;0;0,0195373991;0,3726812816;0,2107925801;0,26306914;0,0556492411;0,1096121417;662;0,9003021148;596;66
8317046;"08317046 Hofstetten";"Hofstetten";"Lahr";"50 Lahr";1695;1286;885;0,6881804044;0,1795166858;0,5126843658;0,4867256637;0,984660767;0,2241887906;0,5982300885;0,1769911504;3;1;1323;976;0,7377173091;0,2598343685;0,4813664596;0,0890269151;0,4142697049;0,2286608143;0,240458847;0,0408261736;0;0,1738108579;0,6029919448;0,1277330265;0,1795166858;0,0494821634;0,4234752589;762;0,9632545932;734;28
8317067;"08317067 Lautenbach";"Lautenbach";"Kehl";"52 Kehl";1882;1498;1021;0,6815754339;0,2073412698;0,5148777896;0,4851222104;0,9776833156;0,1950053135;0,6094580234;0,1955366631;37;1;1491;1065;0,7142857143;0,2834123223;0,3668246445;0,1203791469;0,4532309011;0,1980444755;0,2284725639;0,04841193;0;0,2247583372;0,5515873016;0,1557539683;0,2073412698;0,0367063492;0,3442460317;890;0,9213483146;820;70
8317078;"08317078 Mühlenbach";"Mühlenbach";"Lahr";"50 Lahr";1674;1290;829;0,6426356589;0,1687192118;0,5185185185;0,4808841099;0,972520908;0,2120669056;0,6045400239;0,1827956989;3;0;1299;928;0,714395689;0,2606324973;0,4645583424;0,1035986914;0,4142697049;0,2286608143;0,240458847;0,0408261736;0;0,1738108579;0,60591133;0,1305418719;0,1687192118;0,0480295567;0,4371921182;777;0,972972973;756;21
8317126;"08317126 Seebach";"Seebach";"Kehl";"52 Kehl";1417;1108;761;0,6868231047;0,122311828;0,5144671842;0,4855328158;0,9611856034;0,1940719831;0,6111503176;0,1947776994;37;0;1100;847;0,77;0,229390681;0,449223417;0,1254480287;0,4532309011;0,1980444755;0,2284725639;0,04841193;0;0,2247583372;0,6814516129;0,1129032258;0,122311828;0,0336021505;0,5591397849;625;0,8416;526;99
8327004;"08327004 Bärenthal";"Bärenthal";"Tuttlingen-Donaueschingen";"55 Tuttlingen-Donaueschingen";455;375;256;0,6826666667;0,0833333333;0,5010989011;0,4967032967;0,9846153846;0,1648351648;0,6483516484;0,1846153846;16;1;373;278;0,745308311;0,2608695652;0,4166666667;0,2101449275;0,4634576679;0,2102752437;0,1747523329;0,0695558983;0;0,2531824241;0,6150793651;0,1666666667;0,0833333333;0,0357142857;0,4484126984;225;0,9822222222;221;4
8327006;"08327006 Böttingen";"Böttingen";"Tuttlingen-Donaueschingen";"55 Tuttlingen-Donaueschingen";1474;1088;655;0,6020220588;0,0975232198;0,5074626866;0,4925373134;0,9430122117;0,2204884668;0,6112618725;0,1682496608;29;1;1086;810;0,7458563536;0,1994981179;0,4981179423;0,1543287327;0,4634576679;0,2102752437;0,1747523329;0,0695558983;0;0,2531824241;0,6176470588;0,1284829721;0,0975232198;0,0588235294;0,4891640867;680;0,9338235294;635;45
8327007;"08327007 Bubsheim";"Bubsheim";"Tuttlingen-Donaueschingen";"55 Tuttlingen-Donaueschingen";1157;807;411;0,5092936803;0,0628140704;0,5280898876;0,4701815039;0,9075194468;0,2203975799;0,6430423509;0,1348314607;33;1;808;484;0,599009901;0,18125;0,4833333333;0,1458333333;0,4634576679;0,2102752437;0,1747523329;0,0695558983;0;0,2531824241;0,6859296482;0,0829145729;0,0628140704;0,0326633166;0,6030150754;527;0,9734345351;513;14
8327009;"08327009 Deilingen";"Deilingen";"Tuttlingen-Donaueschingen";"55 Tuttlingen-Donaueschingen";1740;1264;900;0,7120253165;0,1251409245;0,4959770115;0,5045977011;0,9310344828;0,1977011494;0,633908046;0,1689655172;18;0;1246;963;0,7728731942;0,2134595163;0,4973711882;0,1493165089;0,4634576679;0,2102752437;0,1747523329;0,0695558983;0;0,2531824241;0,6369785795;0,122886133;0,1251409245;0,0484780158;0,511837655;825;0,976969697;806;19
8327011;"08327011 Dürbheim";"Dürbheim";"Tuttlingen-Donaueschingen";"55 Tuttlingen-Donaueschingen";1635;1264;880;0,6962025316;0,1502890173;0,4972477064;0,5021406728;0,973088685;0,2097859327;0,6201834862;0,1694189602;36;1;1276;934;0,7319749216;0,2772384035;0,4045307443;0,1326860841;0,4634576679;0,2102752437;0,1747523329;0,0695558983;0;0,2531824241;0,5502890173;0,1341040462;0,1502890173;0,0716763006;0,4;802;0,8042394015;645;157
8327013;"08327013 Egesheim";"Egesheim";"Tuttlingen-Donaueschingen";"55 Tuttlingen-Donaueschingen";641;466;251;0,5386266094;0,0362903226;0,5163806552;0,4820592824;0,9266770671;0,1934477379;0,6599063963;0,1450858034;33;0;453;247;0,5452538631;0,1516393443;0,487704918;0,1885245902;0,4634576679;0,2102752437;0,1747523329;0,0695558983;0;0,2531824241;0,7217741935;0,0766129032;0,0362903226;0,0927419355;0,6290322581;279;0,9713261649;271;8
8327017;"08327017 Frittlingen";"Frittlingen";"Tuttlingen-Donaueschingen";"55 Tuttlingen-Donaueschingen";2075;1488;1066;0,7163978495;0,1849380362;0,5055421687;0,4954216867;0,9171084337;0,2130120482;0,6125301205;0,1754216867;18;1;1473;1081;0,7338764426;0,2481343284;0,4785447761;0,1007462687;0,4634576679;0,2102752437;0,1747523329;0,0695558983;0;0,2531824241;0,5519542421;0,1439466158;0,1849380362;0,0600571973;0,3670162059;918;0,8845315904;812;106
8327023;"08327023 Hausen ob Verena";"Hausen ob Verena";"Tuttlingen-Donaueschingen";"55 Tuttlingen-Donaueschingen";751;600;370;0,6166666667;0,2038567493;0,5126498003;0,4886817577;0,9773635153;0,1864181092;0,6138482024;0,2010652463;26;0;591;459;0,7766497462;0,3092105263;0,3004385965;0,1337719298;0,4634576679;0,2102752437;0,1747523329;0,0695558983;0;0,2531824241;0,3994490358;0,2506887052;0,2038567493;0,0771349862;0,1487603306;358;0,8519553073;305;53
8327029;"08327029 Königsheim";"Königsheim";"Tuttlingen-Donaueschingen";"55 Tuttlingen-Donaueschingen";568;428;262;0,6121495327;0,10546875;0,5088028169;0,4911971831;0,9612676056;0,2165492958;0,6232394366;0,1602112676;29;0;435;307;0,7057471264;0,1928104575;0,5294117647;0,1013071895;0,4634576679;0,2102752437;0,1747523329;0,0695558983;0;0,2531824241;0,671875;0,11328125;0,10546875;0,02734375;0,55859375;263;0,9163498099;241;22
8327030;"08327030 Kolbingen";"Kolbingen";"Tuttlingen-Donaueschingen";"55 Tuttlingen-Donaueschingen";1253;998;756;0,7575150301;0,1017402945;0,4908220271;0,5091779729;0,9872306464;0,1963288109;0,5993615323;0,2043096568;36;0;994;792;0,7967806841;0,2985842986;0,3963963964;0,1145431145;0,4634576679;0,2102752437;0,1747523329;0,0695558983;0;0,2531824241;0,5220883534;0,2396251673;0,1017402945;0,0401606426;0,2824631861;570;0,9578947368;546;24
8327033;"08327033 Mahlstetten";"Mahlstetten";"Tuttlingen-Donaueschingen";"55 Tuttlingen-Donaueschingen";741;613;414;0,6753670473;0,1477832512;0,5114709852;0,4871794872;0,9689608637;0,1430499325;0,649122807;0,2064777328;16;0;619;415;0,6704361874;0,2689486553;0,4009779951;0,1051344743;0,4634576679;0,2102752437;0,1747523329;0,0695558983;0;0,2531824241;0,5123152709;0,1945812808;0,1477832512;0,0344827586;0,3177339901;385;0,761038961;293;92
